Timestamp_log,Source IP,Destination IP,IP_ID_hex,IP_ID_dec,IP_Checksum_hex,IP_Checksum_dec,Source Port,Destination Port,UDP_Checksum_hex,UDP_Checksum_dec,MCS,Timestamp_iperf,Timestamp_iperf_hex,Sequence_num_iperf,Sequence_num_iperf_hex
11:13:37.484,10.11.15.134,10.3.7.11,ac f9,44281,63 24,25380,40518,5201,26 ed,9965,9,2684549872,a0 02 fa f0,2861236224,aa 8b 00 00
11:13:37.484,10.11.15.136,10.3.7.11,80 0f,32783,90 0c,36876,54420,5202,84 0c,33804,9,2684549872,a0 02 fa f0,3631874048,d8 7a 00 00
11:13:37.492,10.3.7.11,10.11.15.134,00 00,0,14 1e,5150,5201,40518,f7 a9,63401,7,2685599368,a0 12 fe 88,2623406080,9c 5e 00 00
11:13:37.492,10.11.15.134,10.3.7.11,ac fa,44282,63 2b,25387,40518,5201,26 ee,9966,7,2148532287,80 10 00 3f,3379298304,c9 6c 00 00
11:13:37.493,10.11.15.134,10.3.7.11,ac fb,44283,63 05,25349,40518,5201,26 ee,9966,12,2149056575,80 18 00 3f,859242496,33 37 00 00
11:13:37.494,10.3.7.11,10.11.15.136,00 00,0,14 1c,5148,5202,54420,0a e4,2788,12,2685599368,a0 12 fe 88,470220800,1c 07 00 00
11:13:37.495,10.11.15.136,10.3.7.11,80 10,32784,90 13,36883,54420,5202,84 0d,33805,10,2148532287,80 10 00 3f,1225916416,49 12 00 00
11:13:37.496,10.11.15.136,10.3.7.11,80 11,32785,8f ed,36845,54420,5202,84 0d,33805,10,2149056575,80 18 00 3f,2662465536,9e b2 00 00
11:13:37.504,10.3.7.11,10.11.15.136,22 67,8807,f1 bc,61884,5202,54420,0a e5,2789,13,2148532733,80 10 01 fd,1193279488,47 20 00 00
11:13:37.504,10.3.7.11,10.11.15.134,b8 59,47193,5b cc,23500,5201,40518,f7 aa,63402,13,2148532733,80 10 01 fd,3346792448,c7 7c 00 00
11:13:37.504,10.3.7.11,10.11.15.134,b8 5a,47194,5b ca,23498,5201,40518,f7 aa,63402,13,2149057021,80 18 01 fd,3195142144,be 72 00 00
11:13:37.505,10.11.15.134,10.3.7.11,ac fc,44284,63 29,25385,40518,5201,27 13,10003,13,2148532287,80 10 00 3f,3375104000,c9 2c 00 00
11:13:37.506,10.11.15.134,10.3.7.11,ac fd,44285,63 24,25380,40518,5201,27 13,10003,13,2149056575,80 18 00 3f,3366322176,c8 a6 00 00
11:13:37.506,10.11.15.134,10.3.7.11,ac fe,44286,62 ae,25262,40518,5201,27 17,10007,13,2149056575,80 18 00 3f,3803447296,e2 b4 00 00
11:13:37.509,10.3.7.11,10.11.15.136,22 68,8808,f1 ba,61882,5202,54420,0a e5,2789,13,2149057021,80 18 01 fd,1041694720,3e 17 00 00
11:13:37.510,10.11.15.136,10.3.7.11,80 12,32786,90 11,36881,54420,5202,84 32,33842,12,2148532287,80 10 00 3f,1221459968,48 ce 00 00
11:13:37.511,10.11.15.136,10.3.7.11,80 13,32787,90 0c,36876,54420,5202,84 32,33842,6,2149056575,80 18 00 3f,1212678144,48 48 00 00
11:13:37.511,10.11.15.136,10.3.7.11,80 14,32788,8f 96,36758,54420,5202,84 36,33846,6,2149056575,80 18 00 3f,1649606656,62 53 00 00
11:13:37.517,10.3.7.11,10.11.15.134,b8 5b,47195,5b ca,23498,5201,40518,f7 ab,63403,12,2148532733,80 10 01 fd,3336830976,c6 e4 00 00
11:13:37.517,10.3.7.11,10.11.15.134,b8 5c,47196,5b c8,23496,5201,40518,f7 ab,63403,12,2149057021,80 18 01 fd,3168468992,bc db 00 00
11:13:37.518,10.11.15.134,10.3.7.11,73 93,29587,9c 9b,40091,46440,5201,9a a9,39593,10,,,,
11:13:37.527,10.3.7.11,10.11.15.136,22 69,8809,f1 ba,61882,5202,54420,0a e6,2790,9,2148532733,80 10 01 fd,1182531584,46 7c 00 00
11:13:37.527,10.3.7.11,10.11.15.136,22 6a,8810,f1 b8,61880,5202,54420,0a e6,2790,9,2149057021,80 18 01 fd,1014169600,3c 73 00 00
11:13:37.527,10.3.7.11,10.11.15.134,86 e4,34532,8d 4a,36170,5201,46440,7b da,31706,9,,,,
11:13:37.528,10.11.15.136,10.3.7.11,38 43,14403,d7 e9,55273,34017,5202,cb 2d,52013,15,,,,
11:13:37.534,10.3.7.11,10.11.15.136,cf 7c,53116,44 b0,17584,5202,34017,ac 5e,44126,13,,,,
11:13:37.558,10.11.15.134,10.3.7.11,ac ff,44287,63 26,25382,40518,5201,27 90,10128,13,2148532287,80 10 00 3f,3362586624,c8 6d 00 00
11:13:37.564,10.3.7.11,10.11.15.134,b8 5d,47197,5b c6,23494,5201,40518,f7 ac,63404,12,2149057021,80 18 01 fd,3312648192,c5 73 00 00
