Timestamp_log,Source IP,Destination IP,IP_ID_hex,IP_ID_dec,IP_Checksum_hex,IP_Checksum_dec,Source Port,Destination Port,UDP_Checksum_hex,UDP_Checksum_dec,MCS,Timestamp_iperf,Timestamp_iperf_hex,Sequence_num_iperf,Sequence_num_iperf_hex
11:00:50.228,10.11.15.130,10.3.7.11,ca 92,51858,45 8f,17807,37408,5201,e1 72,57714,12,2684549872,a0 02 fa f0,4062904320,f2 2b 00 00
11:00:50.233,10.3.7.11,10.11.15.130,00 00,0,14 22,5154,5201,37408,2f 7d,12157,9,2685599368,a0 12 fe 88,2391998464,8e 93 00 00
11:00:50.233,10.11.15.130,10.3.7.11,ca 93,51859,45 96,17814,37408,5201,e1 73,57715,9,2148532287,80 10 00 3f,3148021760,bb a3 00 00
11:00:50.234,10.11.15.130,10.3.7.11,ca 94,51860,45 70,17776,37408,5201,e1 73,57715,11,2149056575,80 18 00 3f,2483486720,94 07 00 00
11:00:50.243,10.3.7.11,10.11.15.130,9a 6a,39530,79 bf,31167,5201,37408,2f 7e,12158,12,2148532733,80 10 01 fd,3115778048,b9 b7 00 00
11:00:50.243,10.3.7.11,10.11.15.130,9a 6b,39531,79 bd,31165,5201,37408,2f 7e,12158,12,2149057021,80 18 01 fd,2964193280,b0 ae 00 00
11:00:50.243,10.11.15.130,10.3.7.11,ca 95,51861,45 94,17812,37408,5201,e1 98,57752,12,2148532287,80 10 00 3f,3144286208,bb 6a 00 00
11:00:50.244,10.11.15.130,10.3.7.11,ca 96,51862,45 8f,17807,37408,5201,e1 98,57752,12,2149056575,80 18 00 3f,3135569920,ba e5 00 00
11:00:50.244,10.11.15.130,10.3.7.11,ca 97,51863,45 19,17689,37408,5201,e1 9c,57756,12,2149056575,80 18 00 3f,3605856256,d6 ed 00 00
11:00:50.256,10.3.7.11,10.11.15.130,9a 6c,39532,79 bd,31165,5201,37408,2f 7f,12159,12,2148532733,80 10 01 fd,3106013184,b9 22 00 00
11:00:50.256,10.3.7.11,10.11.15.130,9a 6d,39533,79 bb,31163,5201,37408,2f 7f,12159,12,2149057021,80 18 01 fd,2937651200,af 19 00 00
11:00:50.257,10.11.15.130,10.3.7.11,2c 87,11399,e3 ab,58283,56439,5201,73 9e,29598,11,,,,
11:00:50.266,10.3.7.11,10.11.15.130,ed c9,60873,26 69,9833,5201,56439,54 cf,21711,12,,,,
11:00:50.297,10.11.15.130,10.3.7.11,ca 98,51864,45 91,17809,37408,5201,e2 15,57877,12,2148532287,80 10 00 3f,3131637760,ba a9 00 00
11:00:50.303,10.3.7.11,10.11.15.130,9a 6e,39534,79 b9,31161,5201,37408,2f 80,12160,7,2149057021,80 18 01 fd,3081764864,b7 b0 00 00
11:00:50.303,10.11.15.130,10.3.7.11,ca 99,51865,45 90,17808,37408,5201,e2 15,57877,7,2148532287,80 10 00 3f,3128033280,ba 72 00 00
11:00:50.304,10.11.15.130,10.3.7.11,2c 88,11400,de 06,56838,56439,5201,f3 99,62361,0,584283,00 08 ea 5b,1,00 00 00 01
11:00:50.306,10.11.15.130,10.3.7.11,2c 89,11401,de 05,56837,56439,5201,eb 93,60307,0,586336,00 08 f2 60,2,00 00 00 02
11:00:50.307,10.11.15.130,10.3.7.11,2c 8a,11402,de 04,56836,56439,5201,e7 aa,59306,0,587336,00 08 f6 48,3,00 00 00 03
11:00:50.309,10.11.15.130,10.3.7.11,2c 8b,11403,de 03,56835,56439,5201,df d8,57304,13,589337,00 08 fe 19,4,00 00 00 04
11:00:50.310,10.11.15.130,10.3.7.11,2c 8c,11404,de 02,56834,56439,5201,db f0,56304,13,590336,00 09 02 00,5,00 00 00 05
11:00:50.312,10.11.15.130,10.3.7.11,2c 8d,11405,de 01,56833,56439,5201,d4 1f,54303,9,592336,00 09 09 d0,6,00 00 00 06
11:00:50.313,10.11.15.130,10.3.7.11,2c 8e,11406,de 00,56832,56439,5201,d0 36,53302,9,593336,00 09 0d b8,7,00 00 00 07
11:00:50.315,10.11.15.130,10.3.7.11,2c 8f,11407,dd ff,56831,56439,5201,c8 64,51300,12,595337,00 09 15 89,8,00 00 00 08
11:00:50.316,10.11.15.130,10.3.7.11,2c 90,11408,dd fe,56830,56439,5201,c4 7c,50300,14,596336,00 09 19 70,9,00 00 00 09
11:00:50.317,10.11.15.130,10.3.7.11,2c 91,11409,dd fd,56829,56439,5201,c0 93,49299,14,597336,00 09 1d 58,10,00 00 00 0a
11:00:50.319,10.11.15.130,10.3.7.11,2c 92,11410,dd fc,56828,56439,5201,b8 c2,47298,12,599336,00 09 25 28,11,00 00 00 0b
11:00:50.320,10.11.15.130,10.3.7.11,2c 93,11411,dd fb,56827,56439,5201,b4 d8,46296,12,600337,00 09 29 11,12,00 00 00 0c
11:00:50.322,10.11.15.130,10.3.7.11,2c 94,11412,dd fa,56826,56439,5201,ad 08,44296,12,602336,00 09 30 e0,13,00 00 00 0d
11:00:50.323,10.11.15.130,10.3.7.11,2c 95,11413,dd f9,56825,56439,5201,a9 1f,43295,12,603336,00 09 34 c8,14,00 00 00 0e
11:00:50.325,10.11.15.130,10.3.7.11,2c 96,11414,dd f8,56824,56439,5201,a1 4e,41294,14,605336,00 09 3c 98,15,00 00 00 0f
11:00:50.326,10.11.15.130,10.3.7.11,2c 97,11415,dd f7,56823,56439,5201,9d 65,40293,9,606336,00 09 40 80,16,00 00 00 10
11:00:50.328,10.11.15.130,10.3.7.11,2c 98,11416,dd f6,56822,56439,5201,95 94,38292,9,608336,00 09 48 50,17,00 00 00 11
11:00:50.329,10.11.15.130,10.3.7.11,2c 99,11417,dd f5,56821,56439,5201,91 ab,37291,10,609336,00 09 4c 38,18,00 00 00 12
11:00:50.331,10.11.15.130,10.3.7.11,2c 9a,11418,dd f4,56820,56439,5201,89 da,35290,10,611336,00 09 54 08,19,00 00 00 13
11:00:50.332,10.11.15.130,10.3.7.11,2c 9b,11419,dd f3,56819,56439,5201,85 f1,34289,10,612336,00 09 57 f0,20,00 00 00 14
11:00:50.333,10.11.15.130,10.3.7.11,2c 9c,11420,dd f2,56818,56439,5201,82 08,33288,10,613336,00 09 5b d8,21,00 00 00 15
11:00:50.335,10.11.15.130,10.3.7.11,2c 9d,11421,dd f1,56817,56439,5201,7a 37,31287,14,615336,00 09 63 a8,22,00 00 00 16
