Timestamp_log,Source IP,Destination IP,IP_ID_hex,IP_ID_dec,IP_Checksum_hex,IP_Checksum_dec,Source Port,Destination Port,UDP_Checksum_hex,UDP_Checksum_dec,MCS,Timestamp_iperf,Timestamp_iperf_hex,Sequence_num_iperf,Sequence_num_iperf_hex
12:04:41.224,10.11.15.130,10.3.7.11,0c ce,3278,03 54,852,40410,1027,6e a5,28325,12,2684549872,a0 02 fa f0,3680501760,db 60 00 00
12:04:41.229,10.3.7.11,10.11.15.130,00 00,0,14 22,5154,1027,40410,22 4f,8783,13,2685599368,a0 12 fe 88,1353318400,50 aa 00 00
12:04:41.229,10.11.15.130,10.3.7.11,0c cf,3279,03 5b,859,40410,1027,6e a6,28326,13,2148532287,80 10 00 3f,2109341696,7d ba 00 00
12:04:41.230,10.11.15.130,10.3.7.11,0c d0,3280,03 35,821,40410,1027,6e a6,28326,5,2149056575,80 18 00 3f,2164129792,80 fe 00 00
12:04:41.239,10.3.7.11,10.11.15.130,49 4e,18766,ca db,51931,1027,40410,22 50,8784,12,2148532733,80 10 01 fd,2077032448,7b cd 00 00
12:04:41.239,10.3.7.11,10.11.15.130,49 4f,18767,ca d9,51929,1027,40410,22 50,8784,12,2149057021,80 18 01 fd,1925447680,72 c4 00 00
12:04:41.239,10.11.15.130,10.3.7.11,0c d1,3281,03 59,857,40410,1027,6e cb,28363,12,2148532287,80 10 00 3f,2105540608,7d 80 00 00
12:04:41.240,10.11.15.130,10.3.7.11,0c d2,3282,03 54,852,40410,1027,6e cb,28363,12,2149056575,80 18 00 3f,2096824320,7c fb 00 00
12:04:41.240,10.11.15.130,10.3.7.11,0c d3,3283,02 de,734,40410,1027,6e cf,28367,12,2149056575,80 18 00 3f,2516975616,96 06 00 00
12:04:41.251,10.3.7.11,10.11.15.130,49 50,18768,ca d9,51929,1027,40410,22 51,8785,12,2148532733,80 10 01 fd,2067267584,7b 38 00 00
12:04:41.251,10.3.7.11,10.11.15.130,49 51,18769,ca d7,51927,1027,40410,22 51,8785,12,2149057021,80 18 01 fd,1898905600,71 2f 00 00
12:04:41.253,10.11.15.130,10.3.7.11,4d 47,19783,c2 eb,49899,39843,1027,c4 c0,50368,7,,,,
