Timestamp_log,Source IP,Destination IP,IP_ID_hex,IP_ID_dec,IP_Checksum_hex,IP_Checksum_dec,Source Port,Destination Port,UDP_Checksum_hex,UDP_Checksum_dec,MCS,Timestamp_iperf,Timestamp_iperf_hex,Sequence_num_iperf,Sequence_num_iperf_hex
13:12:49.357,10.11.15.131,10.3.7.11,0e 14,3604,02 0d,525,53674,1027,8f ef,36847,13,2684549872,a0 02 fa f0,3754950656,df d0 00 00
13:12:49.363,10.3.7.11,10.11.15.131,00 00,0,14 21,5153,1027,53674,5f a9,24489,13,2685599368,a0 12 fe 88,2211446784,83 d0 00 00
13:12:49.364,10.11.15.131,10.3.7.11,0e 15,3605,02 14,532,53674,1027,8f f0,36848,11,2148532287,80 10 00 3f,2967339008,b0 de 00 00
13:12:49.365,10.11.15.131,10.3.7.11,0e 16,3606,01 ee,494,53674,1027,8f f0,36848,11,2149056575,80 18 00 3f,4085514240,f3 84 00 00
13:12:49.380,10.3.7.11,10.11.15.131,57 da,22490,bc 4e,48206,1027,53674,5f aa,24490,12,2148532733,80 10 01 fd,2934898688,ae ef 00 00
13:12:49.380,10.3.7.11,10.11.15.131,57 db,22491,bc 4c,48204,1027,53674,5f aa,24490,12,2149057021,80 18 01 fd,2783313920,a5 e6 00 00
13:12:49.381,10.11.15.131,10.3.7.11,0e 17,3607,02 12,530,53674,1027,90 15,36885,13,2148532287,80 10 00 3f,2962948096,b0 9b 00 00
13:12:49.382,10.11.15.131,10.3.7.11,0e 18,3608,02 0d,525,53674,1027,90 15,36885,13,2149056575,80 18 00 3f,2954231808,b0 16 00 00
13:12:49.382,10.11.15.131,10.3.7.11,0e 19,3609,01 97,407,53674,1027,90 19,36889,13,2149056575,80 18 00 3f,3374383104,c9 21 00 00
13:12:49.393,10.3.7.11,10.11.15.131,57 dc,22492,bc 4c,48204,1027,53674,5f ab,24491,9,2148532733,80 10 01 fd,2924347392,ae 4e 00 00
13:12:49.393,10.3.7.11,10.11.15.131,57 dd,22493,bc 4a,48202,1027,53674,5f ab,24491,9,2149057021,80 18 01 fd,2755985408,a4 45 00 00
13:12:49.394,10.11.15.131,10.3.7.11,a7 e1,42977,68 50,26704,59715,1027,77 1f,30495,12,,,,
13:12:49.403,10.3.7.11,10.11.15.131,83 2d,33581,91 04,37124,1027,59715,58 50,22608,12,,,,
13:12:49.434,10.11.15.131,10.3.7.11,0e 1a,3610,02 0f,527,53674,1027,90 92,37010,13,2148532287,80 10 00 3f,2950037504,af d6 00 00
13:12:49.440,10.3.7.11,10.11.15.131,57 de,22494,bc 48,48200,1027,53674,5f ac,24492,12,2149057021,80 18 01 fd,2900164608,ac dd 00 00
13:12:49.441,10.11.15.131,10.3.7.11,0e 1b,3611,02 0e,526,53674,1027,90 92,37010,8,2148532287,80 10 00 3f,2946367488,af 9e 00 00
13:12:49.442,10.11.15.131,10.3.7.11,a7 e2,42978,62 ab,25259,59715,1027,58 3c,22588,11,722308,00 0b 05 84,1,00 00 00 01
13:12:49.445,10.11.15.131,10.3.7.11,a7 e3,42979,62 aa,25258,59715,1027,4c 50,19536,11,725359,00 0b 11 6f,2,00 00 00 02
13:12:49.447,10.11.15.131,10.3.7.11,a7 e4,42980,62 a9,25257,59715,1027,44 79,17529,10,727365,00 0b 19 45,3,00 00 00 03
13:12:49.449,10.11.15.131,10.3.7.11,a7 e5,42981,62 a8,25256,59715,1027,3c ae,15534,12,729359,00 0b 21 0f,4,00 00 00 04
13:12:49.452,10.11.15.131,10.3.7.11,a7 e6,42982,62 a7,25255,59715,1027,30 f5,12533,12,732359,00 0b 2c c7,5,00 00 00 05
13:12:49.454,10.11.15.131,10.3.7.11,a7 e7,42983,62 a6,25254,59715,1027,29 25,10533,17,734358,00 0b 34 96,6,00 00 00 06
13:12:49.456,10.11.15.131,10.3.7.11,a7 e8,42984,62 a5,25253,59715,1027,21 54,8532,13,736358,00 0b 3c 66,7,00 00 00 07
13:12:49.459,10.11.15.131,10.3.7.11,a7 e9,42985,62 a4,25252,59715,1027,15 9b,5531,13,739358,00 0b 48 1e,8,00 00 00 08
13:12:49.461,10.11.15.131,10.3.7.11,a7 ea,42986,62 a3,25251,59715,1027,0d ca,3530,15,741358,00 0b 4f ee,9,00 00 00 09
13:12:49.463,10.11.15.131,10.3.7.11,a7 eb,42987,62 a2,25250,59715,1027,05 f9,1529,15,743358,00 0b 57 be,10,00 00 00 0a
13:12:49.466,10.11.15.131,10.3.7.11,a7 ec,42988,62 a1,25249,59715,1027,fa 3f,64063,12,746358,00 0b 63 76,11,00 00 00 0b
13:12:49.468,10.11.15.131,10.3.7.11,a7 ed,42989,62 a0,25248,59715,1027,f2 6e,62062,12,748358,00 0b 6b 46,12,00 00 00 0c
13:12:49.470,10.11.15.131,10.3.7.11,a7 ee,42990,62 9f,25247,59715,1027,ea 9d,60061,13,750358,00 0b 73 16,13,00 00 00 0d
13:12:49.473,10.11.15.131,10.3.7.11,a7 ef,42991,62 9e,25246,59715,1027,de e3,57059,13,753359,00 0b 7e cf,14,00 00 00 0e
13:12:49.475,10.11.15.131,10.3.7.11,a7 f0,42992,62 9d,25245,59715,1027,d7 12,55058,13,755359,00 0b 86 9f,15,00 00 00 0f
13:12:49.477,10.11.15.131,10.3.7.11,a7 f1,42993,62 9c,25244,59715,1027,cf 42,53058,15,757358,00 0b 8e 6e,16,00 00 00 10
13:12:49.480,10.11.15.131,10.3.7.11,a7 f2,42994,62 9b,25243,59715,1027,c3 88,50056,12,760359,00 0b 9a 27,17,00 00 00 11
13:12:49.482,10.11.15.131,10.3.7.11,a7 f3,42995,62 9a,25242,59715,1027,bb b8,48056,15,762358,00 0b a1 f6,18,00 00 00 12
13:12:49.484,10.11.15.131,10.3.7.11,a7 f4,42996,62 99,25241,59715,1027,b3 e7,46055,9,764358,00 0b a9 c6,19,00 00 00 13
13:12:49.486,10.11.15.131,10.3.7.11,a7 f5,42997,62 98,25240,59715,1027,ac 16,44054,10,766358,00 0b b1 96,20,00 00 00 14
13:12:49.489,10.11.15.131,10.3.7.11,a7 f6,42998,62 97,25239,59715,1027,a0 5d,41053,15,769358,00 0b bd 4e,21,00 00 00 15
13:12:49.491,10.11.15.131,10.3.7.11,a7 f7,42999,62 96,25238,59715,1027,98 8c,39052,12,771358,00 0b c5 1e,22,00 00 00 16
13:12:49.493,10.11.15.131,10.3.7.11,a7 f8,43000,62 95,25237,59715,1027,90 bb,37051,12,773358,00 0b cc ee,23,00 00 00 17
13:12:49.496,10.11.15.131,10.3.7.11,a7 f9,43001,62 94,25236,59715,1027,85 02,34050,13,776358,00 0b d8 a6,24,00 00 00 18
13:12:49.498,10.11.15.131,10.3.7.11,a7 fa,43002,62 93,25235,59715,1027,7d 31,32049,13,778358,00 0b e0 76,25,00 00 00 19
13:12:49.500,10.11.15.131,10.3.7.11,a7 fb,43003,62 92,25234,59715,1027,75 60,30048,12,780358,00 0b e8 46,26,00 00 00 1a
13:12:49.503,10.11.15.131,10.3.7.11,a7 fc,43004,62 91,25233,59715,1027,69 a7,27047,13,783358,00 0b f3 fe,27,00 00 00 1b
13:12:49.505,10.11.15.131,10.3.7.11,a7 fd,43005,62 90,25232,59715,1027,61 d6,25046,16,785358,00 0b fb ce,28,00 00 00 1c
13:12:49.507,10.11.15.131,10.3.7.11,a7 fe,43006,62 8f,25231,59715,1027,5a 05,23045,13,787358,00 0c 03 9e,29,00 00 00 1d
13:12:49.510,10.11.15.131,10.3.7.11,a7 ff,43007,62 8e,25230,59715,1027,4e 4b,20043,12,790359,00 0c 0f 57,30,00 00 00 1e
13:12:49.512,10.11.15.131,10.3.7.11,a8 00,43008,62 8d,25229,59715,1027,46 7b,18043,12,792358,00 0c 17 26,31,00 00 00 1f
13:12:49.514,10.11.15.131,10.3.7.11,a8 01,43009,62 8c,25228,59715,1027,3e aa,16042,15,794358,00 0c 1e f6,32,00 00 00 20
13:12:49.517,10.11.15.131,10.3.7.11,a8 02,43010,62 8b,25227,59715,1027,32 f0,13040,9,797359,00 0c 2a af,33,00 00 00 21
13:12:49.519,10.11.15.131,10.3.7.11,a8 03,43011,62 8a,25226,59715,1027,2b 20,11040,8,799358,00 0c 32 7e,34,00 00 00 22
13:12:49.521,10.11.15.131,10.3.7.11,a8 04,43012,62 89,25225,59715,1027,23 4f,9039,7,801358,00 0c 3a 4e,35,00 00 00 23
13:12:49.524,10.11.15.131,10.3.7.11,a8 05,43013,62 88,25224,59715,1027,17 96,6038,12,804358,00 0c 46 06,36,00 00 00 24
