Timestamp_log,Source IP,Destination IP,IP_ID_hex,IP_ID_dec,IP_Checksum_hex,IP_Checksum_dec,Source Port,Destination Port,UDP_Checksum_hex,UDP_Checksum_dec,MCS,Timestamp_iperf,Timestamp_iperf_hex,Sequence_num_iperf,Sequence_num_iperf_hex
13:27:46.471,10.11.15.130,10.3.7.11,25 38,9528,ea e9,60137,44422,1027,8e a2,36514,13,2684549872,a0 02 fa f0,2378366976,8d c3 00 00
13:27:46.478,10.3.7.11,10.11.15.130,00 00,0,14 22,5154,1027,44422,2d 44,11588,12,2685599368,a0 12 fe 88,2065498112,7b 1d 00 00
13:27:46.478,10.11.15.130,10.3.7.11,25 39,9529,ea f0,60144,44422,1027,8e a3,36515,12,2148532287,80 10 00 3f,2821390336,a8 2b 00 00
13:27:46.479,10.11.15.130,10.3.7.11,25 3a,9530,ea ca,60106,44422,1027,8e a3,36515,12,2149056575,80 18 00 3f,2482110464,93 f2 00 00
13:27:46.493,10.3.7.11,10.11.15.130,4b 1d,19229,c9 0c,51468,1027,44422,2d 45,11589,12,2148532733,80 10 01 fd,2789081088,a6 3e 00 00
13:27:46.493,10.3.7.11,10.11.15.130,4b 1e,19230,c9 0a,51466,1027,44422,2d 45,11589,12,2149057021,80 18 01 fd,2637496320,9d 35 00 00
13:27:46.493,10.11.15.130,10.3.7.11,25 3b,9531,ea ee,60142,44422,1027,8e c8,36552,12,2148532287,80 10 00 3f,2817261568,a7 ec 00 00
13:27:46.494,10.11.15.130,10.3.7.11,25 3c,9532,ea e9,60137,44422,1027,8e c8,36552,13,2149056575,80 18 00 3f,2808545280,a7 67 00 00
13:27:46.494,10.11.15.130,10.3.7.11,25 3d,9533,ea 73,60019,44422,1027,8e cc,36556,13,2149056575,80 18 00 3f,3228696576,c0 72 00 00
13:27:46.510,10.3.7.11,10.11.15.130,4b 1f,19231,c9 0a,51466,1027,44422,2d 46,11590,11,2148532733,80 10 01 fd,2778726400,a5 a0 00 00
13:27:46.510,10.3.7.11,10.11.15.130,4b 20,19232,c9 08,51464,1027,44422,2d 46,11590,11,2149057021,80 18 01 fd,2610364416,9b 97 00 00
13:27:46.512,10.11.15.130,10.3.7.11,1a 71,6769,f5 c1,62913,41166,1027,bf 95,49045,12,,,,
